epoch,train_loss,val_loss,val_f1_macro
1,0.5386464493349195,0.5242437088405186,0.5825757575757575
2,0.48420407021274936,0.4663275788836884,0.7170584556524299
3,0.46249188665443886,0.4588363229666116,0.7376644736842106
4,0.43337716330559206,0.4444987320885906,0.7516079418344519
5,0.41416839957953644,0.44846238666829075,0.7725759786978006
6,0.39301974469652545,0.43788883905365783,0.772629217507057
7,0.3739862963199042,0.4497009491512798,0.7725643091692009
8,0.3456977137651008,0.46743631065946145,0.7592349704022929
9,0.3173197497112247,0.4704012767113042,0.7785610400162503
10,0.29080560266111904,0.5079325596046336,0.7623668669121699
11,0.26591706222209793,0.5495435405513799,0.768395390070922
12,0.24828469739832842,0.5280504524224561,0.7729747415259782
13,0.2211135812282849,0.5820868093221677,0.7716832550375157
14,0.21407587091939953,0.5955064157814771,0.7762357554385284
15,0.19362387129177266,0.6411816123565484,0.7541076579321553
16,0.17352227384421545,0.6168983517706675,0.7531502629541845
17,0.16208644527628516,0.6295401222898431,0.7679521927962643
18,0.1548825642250729,0.6947039287969227,0.748390612327656
19,0.14553285837665988,0.7089365972590387,0.7611562003718866
20,0.12521167473124267,0.748277936808593,0.7674924275752565
21,0.12875813918967302,0.7661517317810992,0.7443425076452599
22,0.11041602060028638,0.7538379517033529,0.7502954779033916
23,0.1065390346310988,0.8161459692285994,0.7484969766273368
24,0.09983233090931137,0.8128010552664252,0.7579554844208486
25,0.0851668505078683,0.8438990659750795,0.767842266037212
26,0.09359800354734314,0.8413583257559984,0.7625880235082332
27,0.081469941027955,0.8587400986725697,0.7542707684643168
28,0.08003518120228993,0.9166140634298021,0.752314743609462
29,0.07230878003471074,0.9374792179238833,0.7427545729101374
