epoch,train_loss,val_loss,val_f1_macro
1,0.5518551901555978,0.5102942992212638,0.6716538278251125
2,0.5303353948805195,0.49399917375928953,0.7178630488339914
3,0.519927414563986,0.49152924984974683,0.6908499429226804
4,0.5089755289686414,0.47125052474439144,0.7120347510329439
5,0.4988307305253469,0.48702625185251236,0.7004359683873151
6,0.4984326179927358,0.48398895691728816,0.6962799364042502
7,0.4918122097778206,0.48683049255665745,0.7215596518429191
8,0.4885434663424698,0.49108374301555024,0.7279851572884359
9,0.4855086420877622,0.4774252614885006,0.7184475434955486
10,0.47793384924387705,0.4784900371055558,0.7376341559607622
11,0.4798816675678469,0.47488940243591676,0.7184275826041531
12,0.4699709708086,0.4853354490028237,0.7173808839037484
13,0.4629763476192378,0.5020520921866849,0.6857114858664957
14,0.46535381137465054,0.4922101597459811,0.7090974314822787
15,0.45148577677229274,0.48762606671255715,0.7143903693215838
16,0.4458322016737209,0.4982842900526692,0.704753675663814
17,0.44495448799660575,0.49473211998647115,0.6913990402362495
18,0.44747300983334964,0.48687505107021556,0.7187861060329067
19,0.44025520274702173,0.48680063217597186,0.7164812662838113
20,0.43345793032159025,0.48455045670973806,0.7214447554311609
21,0.43970086382558715,0.4889571742629105,0.696619019777827
22,0.42616176855965304,0.4987081492600857,0.6970323739417434
23,0.4273937221329946,0.4822845557036827,0.7290552584670231
24,0.42073951822777206,0.4795599919304533,0.7275789397842103
25,0.4160613456311134,0.5010373879153773,0.6992870657467825
26,0.41688233732174224,0.5073020287596111,0.7022941950893147
27,0.4090596692135128,0.49951621152038844,0.7116749001471516
28,0.4070944343335353,0.5114843960552705,0.7060984359305496
29,0.4100604927740418,0.506882004756129,0.7096332618244969
30,0.40857887615521365,0.5078208476726739,0.7193497079682938
