epoch,train_loss,val_loss
1,0.5667656688398905,0.560147193526583
2,0.499379232053843,0.4540615723069225
3,0.4738676063884977,0.4557524818394865
4,0.45885163815312796,0.5200793663305896
5,0.453047952366091,0.45254374095903976
6,0.41460977649796604,0.44362857352410046
7,0.38661570368309367,0.4538747785346849
8,0.37654506324103515,0.48120997809538885
9,0.3393733233752833,0.4860327545819538
10,0.3076468334950473,0.5136145555547306
11,0.28370697422130076,0.5290399715138067
12,0.257292134965437,0.5771251890608775
13,0.2131390228058418,0.5894295515359512
14,0.1845754940416748,0.6289400842007515
15,0.18049754692890527,0.6542515683520053
16,0.15789294391196237,0.6930680364104254
17,0.12498942549378354,0.7192360082907336
18,0.10431063775293428,0.7506918285840324
19,0.09658554917816663,0.8001701086094337
20,0.08015200676506057,0.8423627403306975
21,0.08554489522481261,0.863912654541699
22,0.06991980789962532,0.9501345568735685
23,0.07406462106550306,0.9657411154060226
24,0.06041685723682773,0.9551181724361543
25,0.05071787835558143,1.0632753131462127
26,0.05645045340514206,1.1027387641702913
