epoch,train_loss,val_loss,val_f1_macro
1,0.6615274901000353,0.6337862818870904,0.59575168494551
2,0.6292147746023077,0.6198260486125946,0.6050097980744653
3,0.5982638591757188,0.5629352218699906,0.6140350877192983
4,0.5831681037894808,0.5839751430277554,0.6382658563835627
5,0.5715062277964674,0.6449752809866419,0.6267031980890367
6,0.5514686796097801,0.610711653277559,0.6175221476137882
7,0.5262961011523237,0.5645100396337375,0.6542216920848598
8,0.5224480932005323,0.5655090805353984,0.6320098600228894
9,0.5064872010396078,0.5885849277365882,0.6480211716588475
10,0.5015253585834916,0.5784971870060237,0.6673362133882922
11,0.4917755384857838,0.5827256452362493,0.6563177253737549
12,0.4683890471664759,0.5585784588782292,0.6773115811694084
13,0.46090172507012117,0.5471230428314434,0.6636482709360216
14,0.4583705296525015,0.5540738704631913,0.6807516121339868
15,0.44606928505863136,0.6341734039333632,0.6459699732593513
16,0.44630711994921934,0.5512249801518783,0.6892736892736893
17,0.4336214653001382,0.6007784031472116,0.6506324692497691
18,0.43301902804523706,0.6087958989840634,0.6335428734706601
19,0.40707725598118627,0.577589102511136,0.6710395206996567
20,0.4150452311508931,0.5690029944591927,0.670995670995671
21,0.40570088859217673,0.5734600773397481,0.6449611477182994
22,0.40250495835565603,0.534550233199349,0.7000751052815107
23,0.3977633729720345,0.5600209380939322,0.6712655679021553
24,0.3870651271695701,0.5545633929377457,0.6794700155249247
25,0.39640366669314414,0.5415837164476233,0.6538548339804704
26,0.38855076036774194,0.562833309876469,0.6501958994256153
27,0.3734287997851005,0.5346153945011912,0.6836637905435787
28,0.3742558706838351,0.5483109304365122,0.6723867957690218
29,0.3620903863070103,0.5323713013445431,0.6712764513063212
30,0.3619738834050412,0.5717940584949728,0.6767860804450351
31,0.3624671739884294,0.5587659922410857,0.6837762237762238
32,0.3527573201303872,0.5776906165311921,0.6730380585096023
33,0.3530804166355385,0.5323397086335803,0.6690608431995879
34,0.34453500685496974,0.5567433350491073,0.6730908887771633
35,0.3344314461394858,0.526802363260737,0.687405594255848
36,0.34000811052437013,0.5320952159335028,0.6897061327340213
37,0.3284122534096241,0.5547380422083836,0.695710018324673
38,0.33177962078927803,0.5434911785260687,0.6821093874093291
39,0.33318487307629907,0.5371929380410122,0.6946925897700573
40,0.3091932669855081,0.5387349733907096,0.6928398722225164
41,0.32172012139255035,0.5607825937979626,0.6784514013682651
42,0.32473502419172573,0.5362120847094733,0.6612367290704271
