epoch,train_loss,val_loss
1,0.5516122990873604,0.47450761390583857
2,0.5025354773480428,0.45228681307552115
3,0.4787772575654595,0.4651296208280006
4,0.46192439777009625,0.45719592392976793
5,0.44697550417880666,0.4674504523032478
6,0.44676920731143177,0.47521782852709293
7,0.43880149580504557,0.44378355451460394
8,0.4326947369861387,0.4612524206084864
9,0.4260955509556904,0.4606084089194025
10,0.4135276095360113,0.45655170562011854
11,0.41251084464707527,0.4720561769125717
12,0.4077212946042756,0.45272004537816557
13,0.39692984932688025,0.48850695309894426
14,0.3941639203291673,0.4543466845394245
15,0.38744143379759466,0.5025597810911547
16,0.3872037206974504,0.5004037251429898
17,0.3764427259766678,0.48350922271077124
18,0.37532846771214345,0.48486644674890805
19,0.3682947038795074,0.510287725433175
20,0.3620310841777206,0.4946847522764334
21,0.35221801543127895,0.534912939183414
22,0.3490884844803702,0.4994997284375131
23,0.3327839188783417,0.5653507789996054
24,0.3330764910079775,0.5286460857439254
25,0.32837752384297986,0.5367229200367417
26,0.32045883985396423,0.5653291852878672
27,0.3205098738025756,0.5831730919224876
