epoch,train_loss,val_loss
1,0.5018014124345995,0.4178580716252327
2,0.4101774085700782,0.4230200120114854
3,0.34645677401739006,0.47157038083033903
4,0.28542912262597236,0.5384219408816924
5,0.21081126125622118,0.610796595058803
6,0.14443509202298804,0.7637370977234761
7,0.11142046244739137,0.7692398269926863
8,0.08953996480345659,0.9254270499771857
9,0.07703895651160136,0.8839963726318923
10,0.06214656828211545,0.9259284113739861
11,0.056843505222539996,0.9222240178065216
12,0.04404230012449887,1.0857602757532732
13,0.03780346954103382,1.1250027526777038
14,0.03859977330604244,1.1725281785723172
15,0.04584837792919553,1.0287343705869196
16,0.03334802746661092,1.301448673614589
17,0.03450395661915602,1.1427102504842748
18,0.024445535983238488,1.2408585333947226
19,0.029933790725153318,1.2091034400343363
20,0.024411258090651443,1.0274925681629352
21,0.02676766612477457,1.0636599780773395
