epoch,train_loss,val_loss
1,0.5458525122560527,0.46464438257472856
2,0.48342911406879513,0.45517707908792154
3,0.45967889108539167,0.4397627353402121
4,0.4403698883984423,0.44576011125796605
5,0.4218708997533332,0.47856529363031897
6,0.3999879005537853,0.46562832806791576
7,0.3756834747295034,0.47066096976465943
8,0.3577986820116302,0.48900076101667117
9,0.3368186663448541,0.523310137912631
10,0.3073242799256722,0.5518564891535789
11,0.28994857428839843,0.6391994347400863
12,0.2694146388728694,0.6019478281128353
13,0.22872804405327835,0.6063363003943648
14,0.2124606303162704,0.702448750671465
15,0.19275594809476068,0.6754708975786343
16,0.17334414062793976,0.7512105737488517
17,0.14353058084306133,0.8913977132178843
18,0.14086222700032983,0.8577000507975754
19,0.11704850544504046,0.9237613882536867
20,0.1123453051281663,0.9305950593968321
21,0.10214356733781045,1.1062828593207346
22,0.08553096458391704,1.0411661540773431
23,0.082215829699709,1.092707521864213
