epoch,train_loss,val_loss,val_f1_macro
1,0.6997261828446126,0.6993967044921149,0.5079955613150641
2,0.6742928918901381,0.6813413231145768,0.5457402584393469
3,0.6234843899588008,0.6530638362680162,0.5957458111704448
4,0.5788221353521714,0.755745855825288,0.5996824405051839
5,0.5291737419563335,0.6343669059021132,0.6094036293960373
6,0.49166572929083646,0.6012940065491768,0.6364953169957988
7,0.4588132750775133,0.6270930514803954,0.6128262095035979
8,0.4304143269392815,0.615285439150674,0.638136441900701
9,0.3999837395827194,0.6231384561707576,0.6270136648930793
10,0.3898616096639371,0.6600039422334659,0.6400041681903849
11,0.3654425359116151,0.6688473993823641,0.6420206911732336
12,0.3538259316112969,0.6102772426392351,0.6403507317023838
13,0.33010240349468295,0.6524653965518588,0.6334337415712121
14,0.3112327492089717,0.6444443698617675,0.6463973736090605
15,0.31115513714542103,0.7224225691918816,0.6516815001732423
16,0.298920656851196,0.6584670730556051,0.6682515709198038
17,0.3025077631349092,0.6505568212785181,0.6547785470403882
18,0.27742617251863194,0.628441859072163,0.6709099245550415
19,0.2769321989227127,0.6478346921148754,0.6703287489094608
20,0.2686256499817738,0.6292810678393358,0.6644661046394675
21,0.26263113507673475,0.6380329409614205,0.6558486351406948
22,0.2560572006872722,0.6951634343181338,0.6683087500773436
23,0.253595730228411,0.669620673101218,0.6702372393961179
24,0.23416439115305196,0.6603615316606704,0.6699272167986975
25,0.2241517785772845,0.6732680335729605,0.6754916206529109
26,0.22936386496319874,0.6923559789767577,0.6769767055829137
27,0.23158270719328097,0.6805927958472499,0.6655258364490462
28,0.2147754715080117,0.7021056413827907,0.6645106067448721
29,0.21131036773446824,0.6591941737082033,0.6437942083308144
30,0.2121286487698064,0.671894960114289,0.6544047013618127
31,0.20463449333968398,0.695229350141294,0.6579133242415193
32,0.2093135579540343,0.7217888044659049,0.670863309352518
33,0.19423193150906118,0.6634830221001591,0.6712827211668021
34,0.18760102334340195,0.7240902042326828,0.6729875283446712
35,0.19271949485230905,0.7352410377358042,0.6635714586453503
36,0.1731249523083014,0.7528434596756207,0.6692745828112114
37,0.18308193690992974,0.7546812854840287,0.667640315108041
38,0.17296535998920573,0.7760730411790844,0.665202470662813
39,0.18815037595353776,0.7773256132822661,0.6752989048528082
40,0.18346042002315868,0.7349539740476757,0.6728964901987575
41,0.18021719860281427,0.7046790430920997,0.6649894075379714
42,0.16845698749830762,0.7507333064296593,0.6690600205505253
43,0.18388561204403311,0.7152121936436743,0.6711584982555706
44,0.18351899674366956,0.7319410117065889,0.6735579361054767
45,0.1683454341766844,0.7245516129791559,0.6682133548362387
46,0.17040798102843238,0.7342397037028734,0.6613440661164921
