epoch,train_loss,val_loss
1,0.577280085685566,0.48177093107785496
2,0.49381210685315713,0.4539656528670873
3,0.4596208728411618,0.457772941062493
4,0.4291085426893709,0.44130243071621017
5,0.40711581936249364,0.44056817362018463
6,0.36771150324409363,0.4615648239185767
7,0.32803332444904076,0.4892487601776208
8,0.2808612363235983,0.5270449062975656
9,0.24590729686064958,0.6228892586243872
10,0.20037765197489596,0.654957108432427
11,0.15744808102153005,0.7259136951927628
12,0.13423670262806287,0.8581895459376808
13,0.1082456039551359,0.9480763535913346
14,0.09273294859241306,0.9020639094856701
15,0.08536256391057803,0.9517221829758326
16,0.07642852729481404,0.9833184923876875
17,0.05022070792870284,1.0579481646917495
18,0.05673371904584415,1.0696317235789528
19,0.03963007863160071,1.147295101641378
20,0.04445707523506303,1.2143564060596483
21,0.0437954544854599,1.2204651614374598
22,0.032010218226935554,1.2631682525440868
23,0.03928668059174781,1.3322812337927255
24,0.029537005228310723,1.3502744472144903
25,0.03614369264173815,1.3745853605547123
