epoch,train_loss,val_loss,val_f1_macro
1,0.5413653058214829,0.4987021115309787,0.6551879781165613
2,0.490129269587879,0.4662080707274518,0.7379220063387075
3,0.47283347133690345,0.45868708207359854,0.7485714285714286
4,0.44310608448890537,0.45522014508551023,0.7611057357283588
5,0.4231156405204764,0.4577144950909435,0.7586448977788856
6,0.4043883255396325,0.4517893634455384,0.7655448717948719
7,0.38143314267150485,0.46588048774678753,0.7586238119888541
8,0.36212598998099566,0.49209656185066364,0.7439308149626257
9,0.3275340180664968,0.47918571388559805,0.7817665135644185
10,0.30347220026529753,0.514709934592247,0.7579197312793189
11,0.2820550859010277,0.5844519186132359,0.748055528838447
12,0.26619777153246105,0.5718854317652449,0.7591980950917889
13,0.23301255033136561,0.6618257204316697,0.7342239121676067
14,0.2291878632789191,0.6295292283856433,0.7506268419608264
15,0.19914263603277504,0.6638624053931672,0.7581818181818182
16,0.18188216775440827,0.6634955397842206,0.7471606082250665
17,0.1705401895876723,0.683887646636785,0.7636299154560356
18,0.1652651871935142,0.7516760591786565,0.7596150774126352
19,0.15206389794072422,0.8032046452951003,0.742402191999014
20,0.13260821253956798,0.8627577187550552,0.7637211836415023
21,0.12471146142454997,0.8119658459645679,0.7318560315888467
22,0.11460360638067449,0.8652839997282498,0.7185696090796407
23,0.12010652811183647,0.8430008933097476,0.7322672909787638
24,0.09949179855343224,0.8651806738827255,0.7550216863022547
25,0.08440842993261938,0.9759486395907413,0.746112399177089
26,0.09418402906493821,0.9436091337240968,0.7615641635609546
27,0.08586567049552776,0.9675652621092081,0.7387800301454981
28,0.07618108598119132,1.0356320310068285,0.7368705035971224
29,0.07340911705978215,1.0098540443694493,0.7329735085523571
