epoch,train_loss,val_loss
1,0.5168093682953675,0.4405854543937104
2,0.4350400574471616,0.43223136018163394
3,0.38638246099873363,0.4873403486396585
4,0.2925506182925194,0.5459889232047966
5,0.21999857074062748,0.6395951202056105
6,0.1650832404816582,0.7730666961454388
7,0.10978097572282158,0.8777289264897783
8,0.09024661363469125,0.8717754648283257
9,0.06878020258923799,0.9582152531698479
10,0.06228936271219434,1.1110648129168632
11,0.05585313831378044,1.1692223553545773
12,0.0544171616908087,0.9968584975175483
13,0.042684776146950966,1.1133964746924383
14,0.05292480095311772,1.0362094703097162
15,0.03833140435126058,1.2023936791187484
16,0.037224254259055824,1.3093833018626486
17,0.04286709996372276,1.161346461424338
18,0.03931898054692102,1.3851345960117345
19,0.03857713589303583,1.3987387685094095
20,0.034874518517282585,1.204030944520907
21,0.02917365628096846,1.1297226007471701
22,0.02308738745295451,1.3329585609794776
