epoch,train_loss,val_loss
1,0.5093811491158753,0.45486800716025755
2,0.4511081244948223,0.43435033100623904
3,0.4232735188838044,0.44186255679233
4,0.3932726577733437,0.4273039239633363
5,0.35683641729379134,0.43380330928734373
6,0.2893540804270166,0.5218287946564877
7,0.23043937526845554,0.5952332267562659
8,0.18350969961469327,0.6031253872040127
9,0.12958749642540865,0.7930036165032236
10,0.10946893581843459,0.7581024298267168
11,0.08948657153557767,0.8317654131013634
12,0.06896781518055038,0.8816148321584478
13,0.06817440455930879,0.8608443464315444
14,0.0728921496328567,0.8302500584875361
15,0.06723141724655164,0.989456418019537
16,0.054588344079554,0.9437158349274389
17,0.0476206660674523,0.9673136292952093
18,0.05191073954292774,1.084114411592972
19,0.03744487146313863,1.1490635808058869
20,0.05221436428880278,1.0517369467369073
21,0.039156796434532445,1.052857124191925
22,0.035571105458453794,1.2873114177045184
23,0.03252399638239699,1.1321110464043993
24,0.030842615776014697,1.1041204437798504
