epoch,train_loss,val_loss,val_f1_macro
1,0.6547392776215469,0.5756416017100925,0.6261933575366411
2,0.5305281364983254,0.5735186049980777,0.5666353978386376
3,0.4364578547467897,0.5049589937286717,0.7136717908317843
4,0.3709649656295449,0.5403745618249689,0.7018528081840784
5,0.3203453173103568,0.5384492051920721,0.705082138366586
6,0.2977191862537638,0.52514237031518,0.7149344466417638
7,0.2588155288146911,0.5561097896702233,0.7036426932804027
8,0.2517840921530848,0.5503156221394117,0.7246728794419056
9,0.23102788131806876,0.554294605863591,0.6841371487119439
10,0.2277830592510137,0.5456800095404365,0.7153397149191161
11,0.20496768786848246,0.5412187832939838,0.7192990018901084
12,0.20494977397086855,0.5432218239276803,0.7357466509062254
13,0.19205167326196046,0.552184477007194,0.7314824174219706
14,0.17669997545429966,0.5457156693634931,0.7284711994763542
15,0.17877954518381547,0.5757329310612044,0.6972317720415993
16,0.1716267065718197,0.5699357702518769,0.73203904829763
17,0.17128244872271484,0.5784094332778339,0.7383219024851295
18,0.16396870097186375,0.548013015190095,0.749961264478582
19,0.155388840967994,0.5682949637395462,0.7415879964136913
20,0.1527293528338055,0.6059630463260137,0.7354908788541585
21,0.15499574870541488,0.5933075003634994,0.7304295411064812
22,0.15284077030002743,0.6102717732630913,0.7409125954209252
23,0.1491366234623346,0.5985515069266382,0.7507870252086959
24,0.13518343741268657,0.6292103593218296,0.7320458545327184
25,0.13175271643366623,0.6148854831212832,0.7373538005540632
26,0.13063254380204642,0.6039456374039651,0.7295394076770806
27,0.13376806516860418,0.6233643566446734,0.726121022736019
28,0.1293460627260444,0.6547289809249508,0.7180050718512256
29,0.11482590380902556,0.6451256822534127,0.7210004865916955
30,0.1110165033087769,0.6715667542020258,0.7182209535362059
31,0.11035136306008508,0.6920440753858809,0.718357996198751
32,0.10719211756604836,0.6806186983525376,0.7145756536100729
33,0.10555472781569543,0.6918455311598899,0.7336852830975857
34,0.1001720889983187,0.6749185808697283,0.7409338111323862
35,0.1040535350618014,0.6945633909146722,0.7200940231976631
36,0.1019728553141109,0.685715689241243,0.7233550232115512
37,0.09202727103019952,0.7247484473566319,0.7228867623604466
38,0.09143955463186612,0.7160812496516017,0.7295049192815286
39,0.09128076677238774,0.7655353760362015,0.7212455275038654
40,0.10020696498635276,0.6992033606397551,0.7306322018991399
41,0.08988661546507021,0.6998407456824116,0.7165745075921198
42,0.0813835926493374,0.7603334725982807,0.7303611101900056
43,0.0890049769493219,0.7029871538855202,0.7268946084704997
