epoch,train_loss,val_loss
1,0.5255146831678589,0.5232372814124184
2,0.4492402084138059,0.4295135136760239
3,0.4056102348938247,0.42982055712491274
4,0.3486552519631062,0.512956126127392
5,0.28832128047268857,0.5086878534140331
6,0.2323516667125182,0.6147161015708532
7,0.1725282496625212,0.6389375164040497
8,0.13289997885972935,0.7788523073374692
9,0.10507152228493968,0.890651674916236
10,0.08356581571010444,0.9527314664529902
11,0.07039053534996186,0.9259828247262963
12,0.06060877984086246,0.9694346214777657
13,0.05980093205217019,0.8922429398766586
14,0.05504772432435017,0.9098566718956655
15,0.04933501870057449,1.026043737307191
16,0.044765982003587536,0.9898722384989794
17,0.04387382827135545,0.9887779301498085
18,0.030340372774132623,1.101689011313803
19,0.04196833036666129,0.9710401437644448
20,0.030643110905196603,0.9653692995198071
21,0.02287335861578312,1.1156563475960866
22,0.037078051239516,1.0003506972768395
