epoch,train_loss,val_loss,val_f1_macro
1,0.5454316527511065,0.5238294768727051,0.627405281191989
2,0.5157096300703975,0.4969168476198079,0.6817459826309384
3,0.4990874215817222,0.4916426730605791,0.718269859965973
4,0.4780788830338189,0.4811541554430183,0.7237281521152489
5,0.460699274061391,0.49158336025363997,0.7274286605332918
6,0.44726600111103976,0.48246450852251277,0.7230051449205892
7,0.4304764347795684,0.512475737133327,0.6989852700490999
8,0.417018995871051,0.4978652928059675,0.7063054790327518
9,0.3967752596363425,0.5107693527385874,0.7309132588574254
10,0.3768377284017893,0.5231549436542785,0.7252313668137036
11,0.3582362237816247,0.5501480264905488,0.7187918483400291
12,0.34609406711891866,0.5532091995525472,0.7039304086564199
13,0.31780758315625673,0.6154706329810169,0.7127055498458377
14,0.3096542865073738,0.5943652790760234,0.7171668068110153
15,0.28666477632493925,0.6405649306691902,0.7286276582382754
16,0.2730242934418269,0.6409458211526485,0.7121212121212122
17,0.25332171868425435,0.6664592639174102,0.7122632932436295
18,0.23836161208768877,0.7018571421284369,0.712705283679741
19,0.22239077255093995,0.7139230206397906,0.7276493993661557
20,0.20543989692277348,0.8292529211762742,0.6971014492753623
21,0.19072227493429986,0.8048972241835282,0.706014294403893
22,0.18132524328225721,0.7955371667026929,0.7338556286531988
23,0.1676698316139384,0.8193857747652866,0.7027725563909775
24,0.14936714026127726,0.8299906613340355,0.7076923076923077
25,0.14762352173028587,0.8805543861361792,0.7076923076923077
26,0.14046926437787569,0.9123679207344672,0.6982808857808858
27,0.12081168498396157,0.9338984834418093,0.7115837324458154
28,0.11558473644646046,0.9449476629961282,0.6995365553769034
29,0.1105322291304429,0.9715795850547092,0.6992135511191773
30,0.10771173370784919,1.0061427373975846,0.7111756662725234
31,0.10852952799345636,1.0249465247253746,0.708419122197095
32,0.08611684599096546,1.0572112487719114,0.7091401352454091
33,0.09165446325753762,1.0711212993343031,0.6987445544809302
34,0.08250076175961742,1.268191670065412,0.6936272629804439
35,0.0942191522425184,1.204656130018263,0.696619019777827
36,0.07197755306865125,1.1181395134533303,0.6976158383979939
37,0.07804829655371857,1.1437351202585664,0.6997028377363419
38,0.07490659145864462,1.2143836786933704,0.6892483383468127
39,0.07329612991732294,1.1331621334420732,0.6928134911425698
40,0.07136079366822602,1.1855203771616925,0.699810842871341
41,0.0671654429685217,1.1335380084367572,0.705889684178642
42,0.06547945996247179,1.172305204996622,0.6978168620052784
