epoch,train_loss,val_loss
1,0.5246384382517629,0.4615588942210057
2,0.44477711321271923,0.4375670913473836
3,0.3922615692491445,0.43647111260465216
4,0.3339452990983946,0.48805011808872223
5,0.26915477074648997,0.5930194945872894
6,0.2069504953651137,0.5833370040553356
7,0.1497468614268087,0.6324665770599884
8,0.12709005066189427,0.8272510018016744
9,0.09868248321571096,0.8065296860383698
10,0.09014897315859861,0.884822358596596
11,0.0760636266228233,0.90648959731126
12,0.06397951719334256,0.9511410242952739
13,0.06927840290190779,0.8154076123610139
14,0.04316046837732044,1.0450904114163027
15,0.04848568080513574,0.9942736596983325
16,0.04061646790167831,1.0488796355855032
17,0.047479395106186185,0.9419189537709046
18,0.03636033888653393,1.1357565228537234
19,0.0407488289115607,0.9752837298604261
20,0.043827617917461655,1.054530494050206
21,0.031198536375078176,1.0772609620513063
22,0.039312519069088885,0.7790842451447263
23,0.024612291216994087,1.1173534010179407
